Fecha,Hora,Nivel_Escolar,Marca,Inventario_Inicial,Ventas,Inventario_Final
2025-08-01,10,Kínder,TopKids,135,23,112
2025-08-01,10,Kínder,EduMax,176,10,166
2025-08-01,10,Kínder,EduMax,267,17,250
2025-08-01,10,Kínder,SuperSchool,186,11,175
2025-08-01,10,Kínder,EduMax,225,7,218
2025-08-01,10,Kínder,SuperSchool,219,23,196
2025-08-01,10,Kínder,EduMax,148,18,130
2025-08-01,10,Kínder,SuperSchool,201,13,188
2025-08-01,10,Kínder,EduMax,184,4,180
2025-08-01,10,Kínder,SuperSchool,69,1,68
2025-08-01,10,Kínder,EduMax,193,14,179
2025-08-01,10,Primaria 1°,TopKids,264,15,249
2025-08-01,10,Primaria 1°,EduMax,115,23,92
2025-08-01,10,Primaria 1°,TopKids,135,19,116
2025-08-01,10,Primaria 1°,SuperSchool,235,22,213
2025-08-01,10,Primaria 1°,EduMax,107,22,85
2025-08-01,10,Primaria 1°,SuperSchool,229,10,219
2025-08-01,10,Primaria 1°,EduMax,64,22,42
2025-08-01,10,Primaria 1°,TopKids,237,5,232
2025-08-01,10,Primaria 1°,SuperSchool,57,21,36
2025-08-01,10,Primaria 1°,SuperSchool,152,4,148
2025-08-01,10,Primaria 1°,EduMax,158,20,138
2025-08-01,10,Primaria 1°,EduMax,96,3,93
2025-08-01,10,Primaria 1°,TopKids,217,20,197
2025-08-01,10,Primaria 1°,SuperSchool,163,10,153
2025-08-01,10,Primaria 1°,EduMax,196,17,179
2025-08-01,10,Primaria 1°,TopKids,68,23,45
2025-08-01,10,Primaria 2°,SuperSchool,267,21,246
2025-08-01,10,Primaria 2°,EduMax,72,9,63
2025-08-01,10,Primaria 2°,SuperSchool,178,1,177
2025-08-01,10,Primaria 2°,TopKids,83,22,61
2025-08-01,10,Primaria 2°,SuperSchool,281,13,268
2025-08-01,10,Primaria 2°,SuperSchool,178,16,162
2025-08-01,10,Primaria 2°,SuperSchool,280,5,275
2025-08-01,10,Primaria 2°,EduMax,142,23,119
2025-08-01,10,Primaria 2°,TopKids,125,16,109
2025-08-01,10,Primaria 2°,TopKids,278,22,256
2025-08-01,10,Primaria 2°,SuperSchool,78,14,64
2025-08-01,10,Primaria 2°,SuperSchool,96,17,79
2025-08-01,10,Primaria 2°,EduMax,287,20,267
2025-08-01,10,Primaria 2°,SuperSchool,253,16,237
2025-08-01,10,Primaria 3°,EduMax,225,21,204
2025-08-01,10,Primaria 3°,TopKids,149,1,148
2025-08-01,10,Primaria 3°,EduMax,271,5,266
2025-08-01,10,Primaria 3°,TopKids,299,10,289
2025-08-01,10,Primaria 3°,EduMax,118,4,114
2025-08-01,10,Primaria 3°,EduMax,229,10,219
2025-08-01,10,Primaria 3°,EduMax,196,1,195
2025-08-01,10,Primaria 3°,SuperSchool,286,4,282
2025-08-01,10,Primaria 3°,TopKids,51,17,34
2025-08-01,10,Primaria 3°,TopKids,133,24,109
2025-08-01,10,Primaria 3°,EduMax,212,1,211
2025-08-01,10,Primaria 3°,SuperSchool,238,19,219
2025-08-01,10,Primaria 3°,TopKids,150,12,138
2025-08-01,10,Primaria 3°,TopKids,114,1,113
2025-08-01,10,Primaria 4°,EduMax,92,12,80
2025-08-01,10,Primaria 4°,SuperSchool,190,12,178
2025-08-01,10,Primaria 4°,TopKids,95,2,93
2025-08-01,10,Primaria 4°,SuperSchool,292,18,274
2025-08-01,10,Primaria 4°,TopKids,264,17,247
2025-08-01,10,Primaria 4°,EduMax,57,10,47
2025-08-01,10,Primaria 4°,EduMax,211,19,192
2025-08-01,10,Primaria 4°,SuperSchool,184,4,180
2025-08-01,10,Primaria 4°,EduMax,294,18,276
2025-08-01,10,Primaria 4°,SuperSchool,124,24,100
2025-08-01,10,Primaria 4°,SuperSchool,70,4,66
2025-08-01,10,Primaria 4°,EduMax,150,9,141
2025-08-01,10,Primaria 5°,TopKids,226,3,223
2025-08-01,10,Primaria 5°,EduMax,290,7,283
2025-08-01,10,Primaria 5°,TopKids,239,5,234
2025-08-01,10,Primaria 5°,SuperSchool,232,13,219
2025-08-01,10,Primaria 5°,TopKids,266,3,263
2025-08-01,10,Primaria 5°,SuperSchool,79,17,62
2025-08-01,10,Primaria 5°,SuperSchool,111,20,91
2025-08-01,10,Primaria 5°,SuperSchool,135,13,122
2025-08-01,10,Primaria 5°,TopKids,68,17,51
2025-08-01,10,Primaria 5°,SuperSchool,282,19,263
2025-08-01,10,Primaria 5°,SuperSchool,248,14,234
2025-08-01,10,Primaria 5°,TopKids,177,20,157
2025-08-01,10,Primaria 6°,EduMax,160,16,144
2025-08-01,10,Primaria 6°,SuperSchool,118,3,115
2025-08-01,10,Primaria 6°,SuperSchool,229,21,208
2025-08-01,10,Primaria 6°,SuperSchool,200,16,184
2025-08-01,10,Primaria 6°,SuperSchool,88,13,75
2025-08-01,10,Primaria 6°,SuperSchool,91,7,84
2025-08-01,10,Primaria 6°,EduMax,272,5,267
2025-08-01,11,Preescolar,TopKids,270,11,259
2025-08-01,11,Preescolar,TopKids,195,15,180
2025-08-01,11,Preescolar,SuperSchool,123,12,111
2025-08-01,11,Preescolar,SuperSchool,279,7,272
2025-08-01,11,Preescolar,EduMax,190,8,182
2025-08-01,11,Preescolar,EduMax,186,18,168
2025-08-01,11,Preescolar,TopKids,171,2,169
2025-08-01,11,Kínder,SuperSchool,214,6,208
2025-08-01,11,Kínder,TopKids,185,16,169
2025-08-01,11,Kínder,SuperSchool,114,22,92
2025-08-01,11,Kínder,SuperSchool,120,13,107
2025-08-01,11,Kínder,EduMax,208,19,189
2025-08-01,11,Kínder,SuperSchool,157,22,135
2025-08-01,11,Kínder,TopKids,140,10,130
2025-08-01,11,Kínder,EduMax,68,7,61
2025-08-01,11,Kínder,EduMax,244,13,231
2025-08-01,11,Primaria 1°,EduMax,269,20,249
2025-08-01,11,Primaria 1°,SuperSchool,176,9,167
2025-08-01,11,Primaria 1°,TopKids,50,3,47
2025-08-01,11,Primaria 1°,SuperSchool,141,17,124
2025-08-01,11,Primaria 1°,SuperSchool,105,1,104
2025-08-01,11,Primaria 1°,EduMax,166,6,160
2025-08-01,11,Primaria 1°,EduMax,93,13,80
2025-08-01,11,Primaria 1°,SuperSchool,110,15,95
2025-08-01,11,Primaria 1°,SuperSchool,129,22,107
2025-08-01,11,Primaria 1°,SuperSchool,252,5,247
2025-08-01,11,Primaria 1°,TopKids,196,20,176
2025-08-01,11,Primaria 1°,SuperSchool,195,15,180
2025-08-01,11,Primaria 1°,SuperSchool,98,14,84
2025-08-01,11,Primaria 1°,TopKids,208,1,207
2025-08-01,11,Primaria 1°,SuperSchool,103,22,81
2025-08-01,11,Primaria 1°,TopKids,193,23,170
2025-08-01,11,Primaria 1°,SuperSchool,252,12,240
2025-08-01,11,Primaria 2°,EduMax,253,24,229
2025-08-01,11,Primaria 2°,SuperSchool,57,4,53
2025-08-01,11,Primaria 2°,EduMax,185,18,167
2025-08-01,11,Primaria 2°,SuperSchool,90,4,86
2025-08-01,11,Primaria 2°,TopKids,295,17,278
2025-08-01,11,Primaria 2°,SuperSchool,210,21,189
2025-08-01,11,Primaria 2°,SuperSchool,269,16,253
2025-08-01,11,Primaria 2°,SuperSchool,190,14,176
2025-08-01,11,Primaria 2°,TopKids,183,18,165
2025-08-01,11,Primaria 2°,TopKids,246,15,231
2025-08-01,11,Primaria 2°,SuperSchool,243,10,233
2025-08-01,11,Primaria 2°,EduMax,291,13,278
2025-08-01,11,Primaria 2°,SuperSchool,168,24,144
2025-08-01,11,Primaria 2°,SuperSchool,167,1,166
2025-08-01,11,Primaria 3°,TopKids,226,11,215
2025-08-01,11,Primaria 3°,SuperSchool,75,22,53
2025-08-01,11,Primaria 3°,TopKids,76,17,59
2025-08-01,11,Primaria 3°,SuperSchool,210,2,208
2025-08-01,11,Primaria 3°,SuperSchool,148,1,147
2025-08-01,11,Primaria 3°,SuperSchool,289,23,266
2025-08-01,11,Primaria 4°,SuperSchool,246,5,241
2025-08-01,11,Primaria 4°,EduMax,52,21,31
2025-08-01,11,Primaria 4°,TopKids,278,21,257
2025-08-01,11,Primaria 4°,SuperSchool,251,10,241
2025-08-01,11,Primaria 4°,TopKids,194,21,173
2025-08-01,11,Primaria 4°,EduMax,250,14,236
2025-08-01,11,Primaria 4°,SuperSchool,100,13,87
2025-08-01,11,Primaria 4°,SuperSchool,53,1,52
2025-08-01,11,Primaria 4°,SuperSchool,281,2,279
2025-08-01,11,Primaria 4°,TopKids,121,7,114
2025-08-01,11,Primaria 5°,EduMax,211,22,189
2025-08-01,11,Primaria 5°,EduMax,52,18,34
2025-08-01,11,Primaria 5°,SuperSchool,103,12,91
2025-08-01,11,Primaria 5°,SuperSchool,271,17,254
2025-08-01,11,Primaria 5°,TopKids,96,23,73
2025-08-01,11,Primaria 5°,TopKids,278,21,257
2025-08-01,11,Primaria 5°,EduMax,115,11,104
2025-08-01,11,Primaria 5°,TopKids,152,6,146
2025-08-01,11,Primaria 5°,EduMax,87,18,69
2025-08-01,11,Primaria 5°,EduMax,131,15,116
2025-08-01,11,Primaria 5°,TopKids,228,2,226
2025-08-01,11,Primaria 5°,SuperSchool,215,1,214
2025-08-01,11,Primaria 5°,TopKids,79,23,56
2025-08-01,11,Primaria 5°,EduMax,100,17,83
2025-08-01,11,Primaria 6°,SuperSchool,181,10,171
2025-08-01,11,Primaria 6°,SuperSchool,123,17,106
2025-08-01,11,Primaria 6°,SuperSchool,83,6,77
2025-08-01,11,Primaria 6°,SuperSchool,243,13,230
2025-08-01,11,Primaria 6°,EduMax,284,11,273
2025-08-01,11,Primaria 6°,TopKids,164,15,149
2025-08-01,11,Primaria 6°,SuperSchool,200,23,177
2025-08-01,11,Primaria 6°,TopKids,252,22,230
2025-08-01,11,Primaria 6°,SuperSchool,244,3,241
2025-08-01,12,Preescolar,SuperSchool,209,18,191
2025-08-01,12,Preescolar,SuperSchool,171,19,152
2025-08-01,12,Preescolar,TopKids,70,5,65
2025-08-01,12,Preescolar,EduMax,141,10,131
2025-08-01,12,Preescolar,SuperSchool,71,21,50
2025-08-01,12,Preescolar,EduMax,50,5,45
2025-08-01,12,Preescolar,SuperSchool,61,14,47
2025-08-01,12,Preescolar,EduMax,226,14,212
2025-08-01,12,Preescolar,EduMax,94,9,85
2025-08-01,12,Preescolar,EduMax,298,15,283
2025-08-01,12,Preescolar,SuperSchool,263,15,248
2025-08-01,12,Preescolar,EduMax,156,16,140
2025-08-01,12,Preescolar,SuperSchool,130,4,126
2025-08-01,12,Preescolar,SuperSchool,57,17,40
2025-08-01,12,Preescolar,TopKids,229,15,214
2025-08-01,12,Kínder,TopKids,105,22,83
2025-08-01,12,Kínder,EduMax,267,23,244
2025-08-01,12,Kínder,EduMax,265,2,263
2025-08-01,12,Kínder,SuperSchool,203,14,189
2025-08-01,12,Kínder,TopKids,105,19,86
2025-08-01,12,Kínder,TopKids,52,15,37
2025-08-01,12,Kínder,TopKids,287,11,276
2025-08-01,12,Kínder,TopKids,286,18,268
2025-08-01,12,Kínder,EduMax,87,3,84
2025-08-01,12,Kínder,TopKids,64,23,41
2025-08-01,12,Kínder,SuperSchool,77,10,67
2025-08-01,12,Kínder,TopKids,234,17,217
2025-08-01,12,Kínder,TopKids,135,12,123
2025-08-01,12,Kínder,SuperSchool,194,13,181
2025-08-01,12,Kínder,SuperSchool,117,10,107
2025-08-01,12,Kínder,TopKids,282,13,269
2025-08-01,12,Kínder,EduMax,160,4,156
2025-08-01,12,Kínder,TopKids,263,2,261
2025-08-01,12,Kínder,TopKids,57,8,49
2025-08-01,12,Primaria 1°,TopKids,91,9,82
2025-08-01,12,Primaria 1°,SuperSchool,55,20,35
2025-08-01,12,Primaria 1°,EduMax,113,2,111
2025-08-01,12,Primaria 1°,TopKids,233,13,220
2025-08-01,12,Primaria 1°,EduMax,278,1,277
2025-08-01,12,Primaria 2°,EduMax,70,6,64
2025-08-01,12,Primaria 2°,EduMax,296,16,280
2025-08-01,12,Primaria 2°,EduMax,124,24,100
2025-08-01,12,Primaria 2°,TopKids,186,23,163
2025-08-01,12,Primaria 2°,TopKids,292,8,284
2025-08-01,12,Primaria 2°,SuperSchool,85,24,61
2025-08-01,12,Primaria 2°,TopKids,55,2,53
2025-08-01,12,Primaria 2°,TopKids,53,15,38
2025-08-01,12,Primaria 2°,EduMax,167,17,150
2025-08-01,12,Primaria 3°,EduMax,228,2,226
2025-08-01,12,Primaria 3°,TopKids,252,8,244
2025-08-01,12,Primaria 3°,EduMax,228,13,215
2025-08-01,12,Primaria 3°,SuperSchool,119,22,97
2025-08-01,12,Primaria 3°,TopKids,261,1,260
2025-08-01,12,Primaria 3°,SuperSchool,189,15,174
2025-08-01,12,Primaria 3°,SuperSchool,139,14,125
2025-08-01,12,Primaria 3°,EduMax,86,11,75
2025-08-01,12,Primaria 3°,TopKids,149,13,136
2025-08-01,12,Primaria 3°,TopKids,52,1,51
2025-08-01,12,Primaria 3°,EduMax,227,24,203
2025-08-01,12,Primaria 3°,EduMax,54,23,31
2025-08-01,12,Primaria 3°,EduMax,221,2,219
2025-08-01,12,Primaria 3°,SuperSchool,217,2,215
2025-08-01,12,Primaria 3°,SuperSchool,112,5,107
2025-08-01,12,Primaria 3°,SuperSchool,66,9,57
2025-08-01,12,Primaria 3°,TopKids,192,24,168
2025-08-01,12,Primaria 3°,EduMax,296,3,293
2025-08-01,12,Primaria 4°,TopKids,98,5,93
2025-08-01,12,Primaria 4°,EduMax,237,12,225
2025-08-01,12,Primaria 4°,EduMax,127,21,106
2025-08-01,12,Primaria 4°,TopKids,186,2,184
2025-08-01,12,Primaria 4°,TopKids,84,1,83
2025-08-01,12,Primaria 4°,EduMax,109,8,101
2025-08-01,12,Primaria 4°,TopKids,154,5,149
2025-08-01,12,Primaria 4°,EduMax,109,3,106
2025-08-01,12,Primaria 4°,SuperSchool,214,5,209
2025-08-01,12,Primaria 4°,TopKids,172,14,158
2025-08-01,12,Primaria 4°,EduMax,111,4,107
2025-08-01,12,Primaria 4°,SuperSchool,286,10,276
2025-08-01,12,Primaria 4°,SuperSchool,195,8,187
2025-08-01,12,Primaria 4°,TopKids,153,14,139
2025-08-01,12,Primaria 4°,TopKids,174,6,168
2025-08-01,12,Primaria 4°,SuperSchool,72,15,57
2025-08-01,12,Primaria 4°,SuperSchool,202,17,185
2025-08-01,12,Primaria 4°,SuperSchool,288,23,265
2025-08-01,12,Primaria 5°,EduMax,102,8,94
2025-08-01,12,Primaria 5°,TopKids,88,19,69
2025-08-01,12,Primaria 5°,EduMax,183,3,180
2025-08-01,12,Primaria 5°,TopKids,228,8,220
2025-08-01,12,Primaria 5°,EduMax,241,20,221
2025-08-01,12,Primaria 5°,TopKids,160,1,159
2025-08-01,12,Primaria 6°,EduMax,280,4,276
2025-08-01,12,Primaria 6°,SuperSchool,87,1,86
2025-08-01,12,Primaria 6°,SuperSchool,278,23,255
2025-08-01,12,Primaria 6°,SuperSchool,245,22,223
2025-08-01,12,Primaria 6°,EduMax,59,5,54
2025-08-01,12,Primaria 6°,TopKids,123,1,122
2025-08-01,12,Primaria 6°,EduMax,87,13,74
2025-08-01,12,Primaria 6°,TopKids,96,4,92
2025-08-01,13,Preescolar,TopKids,206,8,198
2025-08-01,13,Preescolar,SuperSchool,206,15,191
2025-08-01,13,Preescolar,SuperSchool,179,19,160
2025-08-01,13,Preescolar,TopKids,213,4,209
2025-08-01,13,Preescolar,EduMax,92,5,87
2025-08-01,13,Preescolar,TopKids,123,8,115
2025-08-01,13,Preescolar,EduMax,183,8,175
2025-08-01,13,Preescolar,TopKids,96,14,82
2025-08-01,13,Preescolar,TopKids,189,13,176
2025-08-01,13,Preescolar,EduMax,259,1,258
2025-08-01,13,Preescolar,TopKids,153,11,142
2025-08-01,13,Preescolar,SuperSchool,169,5,164
2025-08-01,13,Preescolar,TopKids,155,17,138
2025-08-01,13,Preescolar,TopKids,171,9,162
2025-08-01,13,Preescolar,EduMax,100,14,86
2025-08-01,13,Preescolar,SuperSchool,263,11,252
2025-08-01,13,Preescolar,TopKids,50,14,36
2025-08-01,13,Kínder,SuperSchool,139,14,125
2025-08-01,13,Kínder,EduMax,264,1,263
2025-08-01,13,Kínder,TopKids,231,23,208
2025-08-01,13,Kínder,TopKids,217,15,202
2025-08-01,13,Kínder,SuperSchool,224,9,215
2025-08-01,13,Kínder,SuperSchool,186,10,176
2025-08-01,13,Kínder,SuperSchool,166,9,157
2025-08-01,13,Kínder,TopKids,112,20,92
2025-08-01,13,Kínder,SuperSchool,139,11,128
2025-08-01,13,Primaria 1°,EduMax,184,18,166
2025-08-01,13,Primaria 1°,TopKids,211,17,194
2025-08-01,13,Primaria 1°,TopKids,236,12,224
2025-08-01,13,Primaria 1°,TopKids,228,22,206
2025-08-01,13,Primaria 1°,SuperSchool,248,20,228
2025-08-01,13,Primaria 1°,EduMax,294,24,270
2025-08-01,13,Primaria 1°,SuperSchool,226,11,215
2025-08-01,13,Primaria 1°,EduMax,203,18,185
2025-08-01,13,Primaria 1°,SuperSchool,98,7,91
2025-08-01,13,Primaria 1°,SuperSchool,133,9,124
2025-08-01,13,Primaria 2°,EduMax,135,8,127
2025-08-01,13,Primaria 2°,SuperSchool,120,1,119
2025-08-01,13,Primaria 2°,SuperSchool,271,23,248
2025-08-01,13,Primaria 2°,TopKids,172,24,148
2025-08-01,13,Primaria 2°,TopKids,111,17,94
2025-08-01,13,Primaria 3°,SuperSchool,79,16,63
2025-08-01,13,Primaria 3°,TopKids,67,1,66
2025-08-01,13,Primaria 3°,EduMax,164,15,149
2025-08-01,13,Primaria 3°,EduMax,243,22,221
2025-08-01,13,Primaria 3°,SuperSchool,163,6,157
2025-08-01,13,Primaria 3°,TopKids,112,4,108
2025-08-01,13,Primaria 3°,SuperSchool,57,23,34
2025-08-01,13,Primaria 3°,TopKids,180,10,170
2025-08-01,13,Primaria 3°,EduMax,260,14,246
2025-08-01,13,Primaria 3°,EduMax,173,1,172
2025-08-01,13,Primaria 3°,TopKids,104,18,86
2025-08-01,13,Primaria 3°,TopKids,142,8,134
2025-08-01,13,Primaria 3°,SuperSchool,106,23,83
2025-08-01,13,Primaria 3°,TopKids,265,23,242
2025-08-01,13,Primaria 3°,TopKids,121,22,99
2025-08-01,13,Primaria 3°,SuperSchool,288,5,283
2025-08-01,13,Primaria 3°,TopKids,100,1,99
2025-08-01,13,Primaria 4°,TopKids,57,2,55
2025-08-01,13,Primaria 4°,TopKids,145,24,121
2025-08-01,13,Primaria 4°,EduMax,81,24,57
2025-08-01,13,Primaria 4°,EduMax,284,16,268
2025-08-01,13,Primaria 4°,SuperSchool,231,21,210
2025-08-01,13,Primaria 4°,EduMax,272,23,249
2025-08-01,13,Primaria 4°,EduMax,56,10,46
2025-08-01,13,Primaria 4°,TopKids,210,23,187
2025-08-01,13,Primaria 4°,SuperSchool,196,16,180
2025-08-01,13,Primaria 4°,SuperSchool,196,4,192
2025-08-01,13,Primaria 4°,SuperSchool,237,18,219
2025-08-01,13,Primaria 4°,EduMax,178,15,163
2025-08-01,13,Primaria 4°,SuperSchool,197,11,186
2025-08-01,13,Primaria 4°,EduMax,179,3,176
2025-08-01,13,Primaria 4°,TopKids,168,12,156
2025-08-01,13,Primaria 4°,SuperSchool,86,6,80
2025-08-01,13,Primaria 5°,SuperSchool,275,21,254
2025-08-01,13,Primaria 5°,TopKids,293,22,271
2025-08-01,13,Primaria 5°,SuperSchool,251,24,227
2025-08-01,13,Primaria 5°,TopKids,287,23,264
2025-08-01,13,Primaria 5°,SuperSchool,163,19,144
2025-08-01,13,Primaria 5°,SuperSchool,63,9,54
2025-08-01,13,Primaria 5°,EduMax,286,7,279
2025-08-01,13,Primaria 5°,SuperSchool,295,22,273
2025-08-01,13,Primaria 5°,TopKids,287,4,283
2025-08-01,13,Primaria 5°,EduMax,235,13,222
2025-08-01,13,Primaria 5°,EduMax,264,5,259
2025-08-01,13,Primaria 5°,TopKids,119,18,101
2025-08-01,13,Primaria 5°,SuperSchool,91,4,87
2025-08-01,13,Primaria 5°,SuperSchool,215,2,213
2025-08-01,13,Primaria 5°,SuperSchool,214,6,208
2025-08-01,13,Primaria 5°,EduMax,125,23,102
2025-08-01,13,Primaria 5°,SuperSchool,155,22,133
2025-08-01,13,Primaria 5°,SuperSchool,76,6,70
