VIN,OEM,model_year,time,speed,odometer,geopos
1VWAP7A30JC123456,Volkswagen,2021,2025-11-28 18:34:50.368021,65,20006,"8.048354,-82.053050"
6FDUF4GY1JSC12345,Scania,2016,2025-11-28 16:44:09.272399,47,50002,"-19.2700125,-156.493169"
3GCUKREC0FG893480,Chevrolet,2025,2025-11-29 05:24:09.964398,110,3932,"-21.7221135,127.726348"
1V2NC9JX5JC123456,Volvo,2022,2025-11-29 02:56:30.199895,25,13570,"-62.2952985,-113.443990"
LZB12345678901234,FAW,2023,2025-11-28 06:53:07.486577,60,8002,"74.118755,147.216165"
LZB12345678901234,FAW,2023,2025-11-28 16:01:36.867675,55,8009,"77.0465415,77.024252"
3AKJGLD54JSC12345,Freightliner,2022,2025-11-28 21:17:14.267465,28,10000,"24.5088975,60.528933"
WDBUF56X98B123456,Mercedes-Benz,2017,2025-11-28 06:56:01.982893,18,40007,"-66.4159285,70.670694"
LZB12345678901234,FAW,2023,2025-11-28 08:00:39.226612,110,8001,"39.568937,-99.567607"
1V2NC9JX5JC123456,Volvo,2022,2025-11-28 21:55:50.474136,83,13564,"88.8748135,-9.191390"
6FDUF4GY1JSC12345,Scania,2016,2025-11-29 00:51:46.474800,27,50008,"21.3414575,-138.594404"
3GCUKREC0FG123456,Chevrolet,2024,2025-11-28 13:55:51.280473,113,4007,"-14.856220,-68.552125"
F654J5DV77JS46566,Ford,2024,2025-11-28 17:11:08.532487,80,19623,"-81.229370,156.931756"
LZB12345678901234,FAW,2023,2025-11-29 04:12:55.134639,85,8008,"61.7480585,-117.916622"
F654J5DV77JS46566,Ford,2024,2025-11-28 19:48:52.681799,13,19616,"-1.3229555,-78.658551"
1XKAD49X7JJ123456,Kenworth,2015,2025-11-28 07:02:37.606731,103,60007,"44.7399825,-19.854764"
1XKAD49X7JJ123456,Kenworth,2015,2025-11-28 10:57:35.828872,65,60002,"32.192660,153.811369"
WDBUF56X98B123456,Mercedes-Benz,2017,2025-11-28 23:52:49.183351,12,40004,"-22.938977,76.118070"
1V2NC9JX5JC962225,Volvo,2022,2025-11-29 03:17:08.273377,41,11058,"54.910370,-140.172704"
F654J5DV77JS98654,Ford,2023,2025-11-28 19:16:57.116754,63,22115,"29.1977685,8.816471"
3GCUKREC0FG893480,Chevrolet,2025,2025-11-28 16:56:09.942655,88,3927,"-58.333338,80.037262"
3GCUKREC0FG123456,Chevrolet,2024,2025-11-29 01:18:54.293883,18,4000,"-78.834112,-21.230958"
6FDUF4GY1JSC12345,Scania,2016,2025-11-29 05:21:22.973024,51,50002,"82.3187435,-14.036700"
F654J5DV77JS98654,Ford,2023,2025-11-29 01:37:36.601874,22,22114,"-38.859354,111.976694"
1XKAD49X7JJ123456,Kenworth,2015,2025-11-28 22:57:04.189289,64,60001,"-76.647338,89.758497"
1VWAP7A30JC123456,Volkswagen,2021,2025-11-29 01:06:51.415190,113,20006,"11.0200505,3.829540"
1V2NC9JX5JC123456,Volvo,2022,2025-11-29 02:57:03.556988,6,13563,"-68.5632285,171.133995"
1V2NC9JX5JC962225,Volvo,2022,2025-11-28 13:06:25.929438,94,11050,"83.0481395,-6.117338"
F654J5DV77JS98654,Ford,2023,2025-11-29 03:01:35.613176,80,22107,"-17.8403415,-62.968673"
LZB12345678901234,FAW,2023,2025-11-29 04:30:27.173548,99,8005,"28.3654605,76.457710"
3GCUKREC0FG123456,Chevrolet,2024,2025-11-28 17:49:42.940737,56,4001,"77.502838,47.927914"
6FDUF4GY1JSC12345,Scania,2016,2025-11-28 06:09:50.058012,17,50001,"73.2832185,91.426587"
1VWAP7A30JC123456,Volkswagen,2021,2025-11-28 20:27:37.754318,32,20004,"-0.6348575,94.027434"
3GCUKREC0FG123456,Chevrolet,2024,2025-11-28 21:23:39.504472,64,4000,"15.617504,-178.250824"
6FDUF4GY1JSC12345,Scania,2016,2025-11-28 09:14:01.396946,11,50004,"51.9373275,0.751147"
F654J5DV77JS98654,Ford,2023,2025-11-29 03:16:26.759558,41,22112,"-85.818826,-124.936655"
3GCUKREC0FG123456,Chevrolet,2024,2025-11-28 22:13:25.951770,71,4005,"-54.845212,-82.603931"
1VWAP7A30JC123456,Volkswagen,2021,2025-11-29 01:38:03.084265,53,20001,"19.442588,33.122271"
6FDUF4GY1JSC12345,Scania,2016,2025-11-28 19:16:41.954472,84,50008,"-33.6914595,-64.228636"
F654J5DV77JS46566,Ford,2024,2025-11-28 11:45:02.591873,67,19617,"-57.089408,145.008826"
WDBUF56X98B123456,Mercedes-Benz,2017,2025-11-28 14:57:26.280517,32,40002,"57.315153,-42.443758"
LZB12345678901234,FAW,2023,2025-11-28 13:00:32.976514,89,8000,"-79.3217595,83.669490"
1VWAP7A30JC123456,Volkswagen,2021,2025-11-28 20:39:46.703197,65,20004,"-61.8067705,136.131292"
1V2NC9JX5JC123456,Volvo,2022,2025-11-28 08:07:55.335146,45,13567,"4.0757475,-163.955748"
F654J5DV77JS46566,Ford,2024,2025-11-28 17:50:57.808999,110,19615,"57.8886185,166.028556"
3GCUKREC0FG123456,Chevrolet,2024,2025-11-29 05:12:29.545810,17,4007,"-63.107137,165.362210"
WDBUF56X98B123456,Mercedes-Benz,2017,2025-11-28 17:33:21.671607,106,40009,"-40.6980845,-165.889595"
1VWAP7A30JC123456,Volkswagen,2021,2025-11-28 15:06:50.204756,44,20008,"68.041633,138.297503"
F654J5DV77JS98654,Ford,2023,2025-11-28 13:46:54.461557,4,22116,"-8.5856995,-162.358048"
WDBUF56X98B123456,Mercedes-Benz,2017,2025-11-28 18:07:45.395964,92,40005,"-66.9014495,88.178065"
3GCUKREC0FG123456,Chevrolet,2024,2025-11-28 12:12:28.786782,64,4008,"-52.9985595,161.866005"
3GCUKREC0FG893480,Chevrolet,2025,2025-11-28 08:50:48.000217,7,3928,"-20.608459,-131.163040"
F654J5DV77JS46566,Ford,2024,2025-11-28 07:56:57.947713,86,19625,"-13.5186265,-176.274191"
LZB12345678901234,FAW,2023,2025-11-29 02:25:14.275163,89,8005,"75.965928,33.864424"
3GCUKREC0FG123456,Chevrolet,2024,2025-11-28 12:44:36.709399,102,4002,"-87.5431615,1.026568"
3GCUKREC0FG893480,Chevrolet,2025,2025-11-28 10:03:44.063909,16,3925,"-3.5940325,112.384536"
1V2NC9JX5JC962225,Volvo,2022,2025-11-29 05:36:46.458808,114,11056,"34.459667,-52.986961"
1V2NC9JX5JC123456,Volvo,2022,2025-11-29 04:04:42.290500,63,13569,"38.341264,60.954894"
F654J5DV77JS98654,Ford,2023,2025-11-28 22:53:51.234884,2,22115,"-55.952888,98.142234"
1XKAD49X7JJ123456,Kenworth,2015,2025-11-28 14:03:35.483341,41,60005,"54.4904845,-123.860705"
F654J5DV77JS46566,Ford,2024,2025-11-28 16:49:11.803039,4,19615,"16.6479705,-121.796662"
3GCUKREC0FG123456,Chevrolet,2024,2025-11-28 12:21:19.237827,88,4001,"68.318292,81.605960"
3GCUKREC0FG893480,Chevrolet,2025,2025-11-28 14:38:24.744432,74,3932,"-3.028942,-40.540811"
F654J5DV77JS46566,Ford,2024,2025-11-28 13:40:44.919089,20,19623,"66.980564,93.505015"
1XKAD49X7JJ123456,Kenworth,2015,2025-11-28 06:18:56.819502,93,60007,"-4.0000365,119.662313"
F654J5DV77JS98654,Ford,2023,2025-11-28 17:06:56.326858,41,22116,"75.085483,40.976570"
1V2NC9JX5JC962225,Volvo,2022,2025-11-28 08:32:49.884183,94,11056,"-54.633109,-119.902267"
3GCUKREC0FG123456,Chevrolet,2024,2025-11-28 19:45:29.397918,8,4009,"-8.734410,-73.301225"
3GCUKREC0FG123456,Chevrolet,2024,2025-11-28 06:44:36.699721,74,4008,"-53.6785405,78.046659"
F654J5DV77JS98654,Ford,2023,2025-11-28 21:11:40.945720,48,22110,"65.392268,-50.301906"
F654J5DV77JS98654,Ford,2023,2025-11-28 22:24:03.246244,85,22115,"-50.191328,132.432972"
6FDUF4GY1JSC12345,Scania,2016,2025-11-29 01:35:13.424781,92,50004,"57.780837,93.149583"
3GCUKREC0FG893480,Chevrolet,2025,2025-11-28 13:58:18.845910,28,3933,"49.577772,-22.400157"
1V2NC9JX5JC123456,Volvo,2022,2025-11-28 15:11:01.527535,28,13569,"-29.4851175,-167.676046"
LZB12345678901234,FAW,2023,2025-11-29 02:19:47.879610,110,8001,"-38.8473875,-28.493786"
F654J5DV77JS46566,Ford,2024,2025-11-28 11:02:30.473584,21,19624,"-38.636139,74.978077"
1V2NC9JX5JC962225,Volvo,2022,2025-11-28 14:20:05.254991,107,11060,"-1.850940,12.755983"
1V2NC9JX5JC123456,Volvo,2022,2025-11-29 01:40:51.056393,56,13563,"-9.676631,-45.638277"
3GCUKREC0FG893480,Chevrolet,2025,2025-11-28 13:17:26.497080,5,3925,"-37.9646555,145.217232"
1V2NC9JX5JC962225,Volvo,2022,2025-11-28 22:20:05.086757,25,11059,"-12.828123,80.507904"
LZB12345678901234,FAW,2023,2025-11-28 23:25:06.525571,73,8003,"-35.7153455,153.878583"
1V2NC9JX5JC123456,Volvo,2022,2025-11-29 04:39:03.777989,81,13560,"-28.759505,49.945657"
LZB12345678901234,FAW,2023,2025-11-28 18:14:01.303209,58,8006,"-73.4148855,-85.298102"
WDBUF56X98B123456,Mercedes-Benz,2017,2025-11-28 19:33:01.213767,16,40008,"22.6773405,-57.911649"
F654J5DV77JS98654,Ford,2023,2025-11-28 16:42:18.902950,91,22111,"0.8837975,73.136414"
3GCUKREC0FG123456,Chevrolet,2024,2025-11-28 05:46:22.147682,7,4001,"-3.310513,-102.998815"
1VWAP7A30JC123456,Volkswagen,2021,2025-11-28 05:39:03.760155,10,20009,"-61.496843,51.796025"
LZB12345678901234,FAW,2023,2025-11-28 22:58:01.647212,99,8001,"42.3655795,-167.579761"
F654J5DV77JS46566,Ford,2024,2025-11-28 13:09:15.514678,93,19619,"-15.260149,-52.446612"
1VWAP7A30JC123456,Volkswagen,2021,2025-11-28 18:19:51.593004,119,20009,"14.069855,51.417363"
3GCUKREC0FG123456,Chevrolet,2024,2025-11-28 22:28:18.206237,28,4004,"70.139698,-18.985804"
1XKAD49X7JJ123456,Kenworth,2015,2025-11-28 20:37:12.542583,44,60006,"-77.9286415,-63.611019"
3AKJGLD54JSC12345,Freightliner,2022,2025-11-29 03:48:36.399199,10,10002,"12.8325295,-48.050751"
1XKAD49X7JJ123456,Kenworth,2015,2025-11-28 15:10:06.735226,84,60009,"43.936054,-64.936307"
6FDUF4GY1JSC12345,Scania,2016,2025-11-28 07:03:14.321420,7,50007,"84.6156325,159.292944"
1VWAP7A30JC123456,Volkswagen,2021,2025-11-28 14:32:09.815167,44,20006,"-10.836577,2.700524"
LZB12345678901234,FAW,2023,2025-11-28 16:35:55.155823,66,8001,"-48.6646415,-58.949678"
F654J5DV77JS98654,Ford,2023,2025-11-28 14:38:30.221882,47,22113,"-14.229489,48.391591"
LZB12345678901234,FAW,2023,2025-11-28 08:09:57.743014,52,8000,"-40.819382,77.776124"
1V2NC9JX5JC123456,Volvo,2022,2025-11-29 02:58:22.213324,5,13564,"-23.925011,-172.707622"
3AKJGLD54JSC12345,Freightliner,2022,2025-11-28 09:11:53.075868,112,10005,"48.1468775,92.766672"
3GCUKREC0FG123456,Chevrolet,2024,2025-11-28 22:07:04.686887,19,4007,"1.9265045,151.638442"
F654J5DV77JS98654,Ford,2023,2025-11-28 12:09:10.405511,18,22111,"-84.0219105,-62.898438"
1V2NC9JX5JC123456,Volvo,2022,2025-11-28 11:20:08.295164,51,13565,"4.6924335,-0.622727"
6FDUF4GY1JSC12345,Scania,2016,2025-11-28 23:19:49.562941,68,50005,"71.8086125,-24.735724"
F654J5DV77JS98654,Ford,2023,2025-11-29 05:21:10.328089,54,22108,"-24.215432,-163.765925"
1V2NC9JX5JC962225,Volvo,2022,2025-11-28 19:13:44.172563,69,11058,"19.5947355,-161.853091"
1V2NC9JX5JC962225,Volvo,2022,2025-11-28 07:53:31.596000,85,11057,"-49.9230415,139.526385"
1V2NC9JX5JC123456,Volvo,2022,2025-11-28 06:42:20.224340,47,13566,"4.2535625,90.889202"
1V2NC9JX5JC123456,Volvo,2022,2025-11-28 12:32:10.169379,29,13567,"2.6552165,97.971180"
WDBUF56X98B123456,Mercedes-Benz,2017,2025-11-28 19:58:14.773581,61,40003,"65.451215,89.770881"
1XKAD49X7JJ123456,Kenworth,2015,2025-11-29 03:37:53.453237,82,60010,"-45.876443,-33.075833"
LZB12345678901234,FAW,2023,2025-11-28 12:12:08.357932,81,8000,"78.3679035,-33.283993"
WDBUF56X98B123456,Mercedes-Benz,2017,2025-11-28 06:10:53.875264,73,40010,"-3.905201,-108.009900"
1XKAD49X7JJ123456,Kenworth,2015,2025-11-28 21:33:06.689603,78,60005,"88.3210705,-136.490799"
1V2NC9JX5JC123456,Volvo,2022,2025-11-28 14:50:15.327610,119,13563,"65.9285125,68.812916"
WDBUF56X98B123456,Mercedes-Benz,2017,2025-11-28 17:20:14.977692,41,40009,"67.6549775,-52.606166"
1V2NC9JX5JC962225,Volvo,2022,2025-11-28 13:27:23.195050,101,11058,"-39.2364785,-150.438988"
1V2NC9JX5JC123456,Volvo,2022,2025-11-28 12:28:05.472683,120,13566,"52.189142,109.632602"
1VWAP7A30JC123456,Volkswagen,2021,2025-11-28 11:55:25.222529,87,20010,"-17.061963,-54.398015"
1VWAP7A30JC123456,Volkswagen,2021,2025-11-28 14:28:40.704731,98,20003,"-67.856646,178.576524"
1VWAP7A30JC123456,Volkswagen,2021,2025-11-29 01:55:21.651967,77,20000,"-32.9388025,115.026528"
WDBUF56X98B123456,Mercedes-Benz,2017,2025-11-28 13:39:24.604859,20,40005,"23.3368205,174.320559"
1VWAP7A30JC123456,Volkswagen,2021,2025-11-28 08:12:39.136051,29,20008,"68.347683,-76.747196"
1V2NC9JX5JC123456,Volvo,2022,2025-11-28 17:02:05.400829,80,13569,"-85.9527995,-132.467304"
F654J5DV77JS46566,Ford,2024,2025-11-28 11:48:16.083369,63,19616,"67.013824,139.852254"
1XKAD49X7JJ123456,Kenworth,2015,2025-11-28 06:43:44.377409,71,60000,"62.4838085,-163.672989"
F654J5DV77JS46566,Ford,2024,2025-11-28 12:51:11.803644,119,19615,"36.3510985,73.561891"
3GCUKREC0FG893480,Chevrolet,2025,2025-11-28 17:16:48.823298,58,3931,"-88.252066,125.632091"
3AKJGLD54JSC12345,Freightliner,2022,2025-11-29 02:43:41.684003,46,10006,"1.055943,-30.516672"
3GCUKREC0FG123456,Chevrolet,2024,2025-11-28 16:16:49.425677,56,4000,"-54.9044255,63.494870"
3AKJGLD54JSC12345,Freightliner,2022,2025-11-28 22:10:40.681568,50,10004,"63.280987,-159.481153"
3AKJGLD54JSC12345,Freightliner,2022,2025-11-28 20:57:12.045190,63,10005,"-54.8417645,171.742961"
1XKAD49X7JJ123456,Kenworth,2015,2025-11-29 02:38:33.691757,88,60004,"-89.468749,-133.940854"
WDBUF56X98B123456,Mercedes-Benz,2017,2025-11-28 15:43:33.464754,82,40008,"16.320792,-177.823049"
WDBUF56X98B123456,Mercedes-Benz,2017,2025-11-28 06:03:30.901286,102,40004,"-85.0581335,-167.598117"
6FDUF4GY1JSC12345,Scania,2016,2025-11-28 11:21:49.043784,35,50006,"71.9448995,-76.375743"
3GCUKREC0FG893480,Chevrolet,2025,2025-11-28 13:38:10.586745,82,3928,"-76.845158,171.210237"
WDBUF56X98B123456,Mercedes-Benz,2017,2025-11-28 10:56:51.128834,120,40010,"44.4959715,14.069260"
1V2NC9JX5JC123456,Volvo,2022,2025-11-28 14:33:18.534424,79,13565,"-45.2717885,-75.069836"
3GCUKREC0FG893480,Chevrolet,2025,2025-11-29 02:50:40.461107,103,3931,"17.870372,-50.956024"
6FDUF4GY1JSC12345,Scania,2016,2025-11-28 06:55:15.265738,12,50003,"36.997897,150.214567"
F654J5DV77JS46566,Ford,2024,2025-11-28 20:50:58.127535,83,19625,"-65.3601325,4.200767"
WDBUF56X98B123456,Mercedes-Benz,2017,2025-11-29 00:05:07.744633,18,40007,"-28.226376,46.304568"
1XKAD49X7JJ123456,Kenworth,2015,2025-11-29 05:03:38.511709,16,60004,"-39.8803915,-111.629771"
F654J5DV77JS46566,Ford,2024,2025-11-28 21:11:05.749493,13,19615,"-41.496093,-99.329725"
1V2NC9JX5JC123456,Volvo,2022,2025-11-28 18:49:14.143800,28,13561,"-43.007909,179.651266"
1VWAP7A30JC123456,Volkswagen,2021,2025-11-28 11:33:33.973912,46,20010,"71.1973165,18.461782"
F654J5DV77JS46566,Ford,2024,2025-11-28 13:50:14.639124,70,19616,"44.3405915,-113.012894"
6FDUF4GY1JSC12345,Scania,2016,2025-11-28 14:44:15.248789,66,50000,"84.217044,-82.126354"
3GCUKREC0FG893480,Chevrolet,2025,2025-11-28 17:55:16.821015,61,3928,"48.4732015,62.274320"
1V2NC9JX5JC962225,Volvo,2022,2025-11-28 06:41:32.935430,102,11058,"-66.149302,133.934504"
3GCUKREC0FG123456,Chevrolet,2024,2025-11-28 14:39:54.586942,110,4004,"-89.9706875,66.920323"
1VWAP7A30JC123456,Volkswagen,2021,2025-11-29 03:35:09.368947,40,20005,"76.3021035,15.928104"
3AKJGLD54JSC12345,Freightliner,2022,2025-11-28 17:58:19.450053,31,10009,"-30.739328,-42.818698"
1V2NC9JX5JC962225,Volvo,2022,2025-11-28 06:52:27.597991,93,11054,"82.4529075,-1.588637"
1XKAD49X7JJ123456,Kenworth,2015,2025-11-28 22:04:03.577015,40,60002,"10.270070,-26.110195"
6FDUF4GY1JSC12345,Scania,2016,2025-11-28 07:35:39.119398,110,50003,"-39.712229,94.986740"
1VWAP7A30JC123456,Volkswagen,2021,2025-11-28 06:59:13.341549,77,20007,"76.2878595,-157.045210"
WDBUF56X98B123456,Mercedes-Benz,2017,2025-11-28 23:30:01.983658,116,40003,"88.4583965,24.076536"
3GCUKREC0FG123456,Chevrolet,2024,2025-11-28 21:29:02.615383,97,4003,"9.0496755,-50.880814"
1VWAP7A30JC123456,Volkswagen,2021,2025-11-29 02:05:55.991229,88,20005,"-57.0192585,54.493652"
3GCUKREC0FG123456,Chevrolet,2024,2025-11-28 10:55:24.809090,56,4008,"75.681842,-136.738288"
3AKJGLD54JSC12345,Freightliner,2022,2025-11-28 15:21:44.531941,36,10010,"-3.1034885,113.310988"
WDBUF56X98B123456,Mercedes-Benz,2017,2025-11-28 10:46:18.412540,105,40009,"-12.9909065,113.969151"
1V2NC9JX5JC962225,Volvo,2022,2025-11-28 22:14:01.086150,120,11052,"39.445597,-30.012644"
F654J5DV77JS46566,Ford,2024,2025-11-29 03:36:09.280201,100,19616,"29.436890,35.128841"
1XKAD49X7JJ123456,Kenworth,2015,2025-11-28 17:51:32.069453,50,60010,"85.015953,69.973246"
1V2NC9JX5JC123456,Volvo,2022,2025-11-29 05:08:34.594333,5,13560,"51.0393575,89.415399"
LZB12345678901234,FAW,2023,2025-11-28 12:03:06.363863,83,8007,"-15.848777,-51.782266"
1V2NC9JX5JC123456,Volvo,2022,2025-11-28 14:05:43.831905,78,13569,"7.6351465,153.342062"
1VWAP7A30JC123456,Volkswagen,2021,2025-11-28 19:06:38.727120,103,20004,"76.2693285,-177.918426"
3AKJGLD54JSC12345,Freightliner,2022,2025-11-28 12:15:41.638281,108,10004,"57.6041815,-43.856141"
WDBUF56X98B123456,Mercedes-Benz,2017,2025-11-28 13:44:48.904606,41,40008,"34.341217,-88.839318"
1V2NC9JX5JC962225,Volvo,2022,2025-11-28 21:47:18.684196,64,11052,"-74.042852,157.175484"
F654J5DV77JS98654,Ford,2023,2025-11-28 09:31:13.371132,28,22107,"-75.776836,-108.376304"
F654J5DV77JS46566,Ford,2024,2025-11-29 05:10:03.798925,117,19615,"-17.386999,-70.125130"
3GCUKREC0FG123456,Chevrolet,2024,2025-11-28 19:10:26.631984,76,4000,"-34.101174,164.429592"
3AKJGLD54JSC12345,Freightliner,2022,2025-11-28 11:57:52.417685,33,10007,"40.7547575,95.705651"
WDBUF56X98B123456,Mercedes-Benz,2017,2025-11-29 04:01:12.496225,0,40007,"-87.6405665,166.916973"
1V2NC9JX5JC962225,Volvo,2022,2025-11-28 14:53:31.317569,39,11056,"75.315859,71.821332"
1XKAD49X7JJ123456,Kenworth,2015,2025-11-28 23:37:25.199224,113,60001,"-29.4013925,-96.136934"
3GCUKREC0FG123456,Chevrolet,2024,2025-11-28 19:49:38.462077,77,4001,"-81.7394955,-121.037158"
3AKJGLD54JSC12345,Freightliner,2022,2025-11-28 07:38:41.884011,24,10008,"13.6682685,78.583119"
WDBUF56X98B123456,Mercedes-Benz,2017,2025-11-28 21:53:33.566584,29,40006,"39.973515,-134.318398"
1V2NC9JX5JC962225,Volvo,2022,2025-11-28 23:05:28.105597,38,11051,"-10.709981,-103.508138"
3GCUKREC0FG123456,Chevrolet,2024,2025-11-28 12:12:10.673637,25,4006,"16.8938935,11.322570"
1VWAP7A30JC123456,Volkswagen,2021,2025-11-28 08:22:30.373918,51,20004,"-15.9395005,-166.976019"
6FDUF4GY1JSC12345,Scania,2016,2025-11-28 13:04:25.103638,19,50009,"11.0432885,-3.327790"
1V2NC9JX5JC962225,Volvo,2022,2025-11-28 20:53:04.883382,67,11051,"-44.586536,-37.634112"
F654J5DV77JS46566,Ford,2024,2025-11-28 10:51:57.591130,28,19624,"41.9721925,-80.728896"
1XKAD49X7JJ123456,Kenworth,2015,2025-11-28 08:25:16.545717,57,60007,"33.538073,8.194973"
1XKAD49X7JJ123456,Kenworth,2015,2025-11-28 12:27:29.511096,26,60002,"22.349174,173.877591"
1VWAP7A30JC123456,Volkswagen,2021,2025-11-29 02:58:19.947143,20,20002,"32.6861195,-67.435639"
1V2NC9JX5JC962225,Volvo,2022,2025-11-28 18:26:51.285383,110,11059,"6.067676,-157.354984"
LZB12345678901234,FAW,2023,2025-11-28 07:31:26.063304,47,8003,"-61.9092095,84.181766"
WDBUF56X98B123456,Mercedes-Benz,2017,2025-11-28 23:37:58.201488,60,40000,"-33.8696095,-6.688036"
1XKAD49X7JJ123456,Kenworth,2015,2025-11-28 23:06:21.071761,19,60002,"-36.1727965,-9.288748"
WDBUF56X98B123456,Mercedes-Benz,2017,2025-11-28 12:38:41.803743,16,40001,"56.110560,-72.971895"
3GCUKREC0FG123456,Chevrolet,2024,2025-11-28 11:06:19.127941,68,4001,"-29.2037725,-91.836768"
6FDUF4GY1JSC12345,Scania,2016,2025-11-28 17:41:02.928369,74,50010,"3.4972755,40.509346"
3AKJGLD54JSC12345,Freightliner,2022,2025-11-28 13:55:32.263019,34,10000,"31.6811195,116.750136"
F654J5DV77JS98654,Ford,2023,2025-11-28 09:36:17.954897,115,22112,"7.4078335,101.592682"
1XKAD49X7JJ123456,Kenworth,2015,2025-11-29 00:41:53.072537,22,60008,"36.249945,-177.803046"
F654J5DV77JS46566,Ford,2024,2025-11-28 13:06:01.694045,35,19619,"29.661660,117.693148"
1V2NC9JX5JC123456,Volvo,2022,2025-11-29 03:31:24.958952,77,13565,"-15.9450795,153.089339"
3AKJGLD54JSC12345,Freightliner,2022,2025-11-28 15:22:51.347879,29,10003,"-12.5309785,159.319663"
3GCUKREC0FG123456,Chevrolet,2024,2025-11-28 12:26:48.714970,19,4001,"-41.998724,-64.896830"
3AKJGLD54JSC12345,Freightliner,2022,2025-11-28 16:43:32.581068,118,10004,"43.355873,-141.248712"
F654J5DV77JS46566,Ford,2024,2025-11-28 23:57:38.275170,69,19623,"76.546388,69.269346"
3GCUKREC0FG893480,Chevrolet,2025,2025-11-28 17:44:59.578401,22,3934,"67.748789,-105.223827"
1XKAD49X7JJ123456,Kenworth,2015,2025-11-28 19:42:10.535626,37,60001,"33.423944,18.878672"
3GCUKREC0FG123456,Chevrolet,2024,2025-11-29 00:21:31.190642,55,3999,"49.4405975,176.689058"
